Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
2018,5,Alabama,7000,7000,1600,570,740
2018,5,Arizona,31000,32000,6000,2900,-
2018,5,Arkansas,18000,20000,3500,430,230
2018,5,California,1170000,1470000,195000,137000,93000
2018,5,Colorado,9500,21000,1100,100,-
2018,5,Connecticut,3100,3100,380,100,110
2018,5,Florida,260000,265000,30000,78000,34000
2018,5,Georgia,123000,125000,14000,25000,21000
2018,5,Hawaii,13000,13000,190,510,50
2018,5,Idaho,95000,99000,8500,2000,280
2018,5,Illinois,11000,11000,2900,3100,150
2018,5,Indiana,7000,7500,1900,1700,70
2018,5,Iowa,10000,15500,3000,70,-
2018,5,Kansas,3800,3800,1000,930,380
2018,5,Kentucky,6500,7000,1300,950,430
2018,5,Louisiana,44000,47000,2700,11000,1900
2018,5,Maine,2700,3100,1000,100,-
2018,5,Maryland,9000,9000,2100,770,260
2018,5,Massachusetts,3300,3300,1500,120,110
2018,5,Michigan,29000,59000,5000,600,130
2018,5,Minnesota,27000,41000,3500,3300,-
2018,5,Mississippi,31000,68000,2600,23000,7000
2018,5,Missouri,7000,7500,1200,400,10
2018,5,Montana,18500,46000,470,3100,6000
2018,5,Nebraska,7500,13000,750,120,-
2018,5,New Jersey,6000,6000,490,10,-
2018,5,New Mexico,5500,5500,2100,3600,-
2018,5,New York,32000,33000,6000,520,-
2018,5,North Carolina,16000,23000,2500,3700,1200
2018,5,North Dakota,50000,123000,640,1100,10
2018,5,Ohio,15500,17500,4400,1300,530
2018,5,Oklahoma,26000,26000,550,9500,1700
2018,5,Oregon,71000,90000,8000,7500,1400
2018,5,Pennsylvania,17000,18000,4000,810,390
2018,5,South Carolina,17000,17500,1600,4700,970
2018,5,South Dakota,21000,48000,2700,1500,440
2018,5,Tennessee,8500,8500,1600,1500,160
2018,5,Texas,275000,340000,49000,130000,68000
2018,5,Utah,16000,19000,2700,3900,60
2018,5,Vermont,6500,6500,440,-,-
2018,5,Virginia,8000,8000,1400,1900,280
2018,5,Washington,68000,104000,9000,8500,-
2018,5,West Virginia,5500,8000,800,450,100
2018,5,Wisconsin,17000,22000,4400,450,70
2018,5,Wyoming,6500,17000,3600,1300,-
2018,5,Other States 5/,6190,6490,1540,130,50
2018,5,United States,2641090,(X),398650,478240,241210
2018,1,Alabama,6500,6500,440,1200,500
2018,1,Arizona,22000,22000,2600,12500,3000
2018,1,Arkansas,17000,24000,1900,6000,1300
2018,1,California,980000,990000,90000,160000,220000
2018,1,Colorado,16500,31000,4500,8000,7500
2018,1,Connecticut,3000,3000,140,2200,350
2018,1,Florida,245000,255000,35000,40000,50000
2018,1,Georgia,130000,137000,12500,21000,31000
2018,1,Hawaii,12000,12000,70,3000,920
2018,1,Idaho,61000,78000,10500,22000,31000
2018,1,Illinois,11500,12000,1200,3600,1600
2018,1,Indiana,7500,11000,1200,3000,510
2018,1,Iowa,12000,23000,2400,23000,3900
2018,1,Kansas,3800,6000,390,2500,870
2018,1,Kentucky,7000,7500,900,3100,590
2018,1,Louisiana,56000,62000,2600,4100,8000
2018,1,Maine,2200,33000,910,1100,1400
2018,1,Maryland,8000,9500,190,3400,930
2018,1,Massachusetts,2500,8000,140,1400,490
2018,1,Michigan,55000,100000,7500,20000,13500
2018,1,Minnesota,32000,128000,12000,19000,8500
2018,1,Mississippi,89000,89000,3800,5500,26000
2018,1,Missouri,6500,7000,270,1800,1000
2018,1,Montana,47000,135000,3700,18000,18000
2018,1,Nebraska,7500,43000,1500,7000,27000
2018,1,New Jersey,5500,21000,430,1900,660
2018,1,New Mexico,7000,7500,1800,3300,3900
2018,1,New York,25000,43000,1300,16500,7500
2018,1,North Carolina,24000,25000,3000,5000,2700
2018,1,North Dakota,115000,450000,16000,31000,41000
2018,1,Ohio,13500,15000,1100,7000,2500
2018,1,Oklahoma,17000,17000,200,4700,1200
2018,1,Oregon,71000,92000,5000,15500,22000
2018,1,Pennsylvania,15500,17500,540,7500,2300
2018,1,South Carolina,20000,20000,870,3000,3700
2018,1,South Dakota,30000,168000,13000,10000,23000
2018,1,Tennessee,8500,9000,1300,2600,1500
2018,1,Texas,345000,350000,28000,43000,148000
2018,1,Utah,21000,31000,2700,12500,10000
2018,1,Vermont,6000,8000,170,390,190
2018,1,Virginia,8500,9500,1000,3100,1100
2018,1,Washington,75000,111000,7000,30000,20000
2018,1,West Virginia,7500,7500,370,4100,2500
2018,1,Wisconsin,18000,65000,4000,13000,6500
2018,1,Wyoming,15000,30000,1300,6000,3500
2018,1,Other States 5/,5650,7160,160,870,940
2018,1,United States,2694150,(X),285590,613360,762550
2018,7,Alabama,7000,9500,900,690,530
2018,7,Arizona,26000,26000,4100,5000,3200
2018,7,Arkansas,29000,29000,6000,4400,410
2018,7,California,590000,670000,67000,73000,74000
2018,7,Colorado,35000,42000,4300,2900,6410
2018,7,Connecticut,3500,3500,130,50,20
2018,7,Florida,176000,180000,39000,39000,42000
2018,7,Georgia,121000,122000,15500,19000,23000
2018,7,Hawaii,15000,15000,1100,430,20
2018,7,Idaho,89000,116000,12000,9000,16500
2018,7,Illinois,13000,13000,1100,710,1200
2018,7,Indiana,13000,13000,930,420,740
2018,7,Iowa,40000,43000,2200,2100,4000
2018,7,Kansas,7000,7000,1700,1400,1000
2018,7,Kentucky,9000,9000,1600,450,700
2018,7,Louisiana,64000,64000,13500,14500,34000
2018,7,Maine,5500,6000,400,210,290
2018,7,Maryland,8500,8500,1600,1300,600
2018,7,Massachusetts,9000,9000,760,790,460
2018,7,Michigan,103000,109000,17500,4300,11500
2018,7,Minnesota,136000,136000,20000,1900,2200
2018,7,Mississippi,24000,24000,2900,250,230
2018,7,Missouri,9000,9000,580,320,310
2018,7,Montana,154000,161000,18500,3100,23000
2018,7,Nebraska,46000,47000,3700,880,13500
2018,7,New Jersey,16000,16000,420,280,110
2018,7,New Mexico,8500,8500,2500,1800,200
2018,7,New York,59000,59000,6500,3100,9000
2018,7,North Carolina,26000,27000,3300,4100,2900
