,Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
1,2019,Q1,Arizona,25000.0,26000,6000.0,810,230
2,2019,Q1,Arkansas,22000.0,22000,7500.0,540,810
3,2019,Q1,California,1150000.0,1540000,215000.0,205000,133000
4,2019,Q1,Colorado,13000.0,21000,4900.0,1400,190
5,2019,Q1,Connecticut,2900.0,2900,140.0,220,330
6,2019,Q1,Florida,245000.0,255000,39000.0,57000,38000
7,2019,Q1,Georgia,134000.0,139000,25000.0,29000,39000
8,2019,Q1,Hawaii,17000.0,17000,1600.0,1200,5000
9,2019,Q1,Idaho,164000.0,168000,22000.0,2500,2600
10,2019,Q1,Illinois,10500.0,10500,2400.0,1000,630
11,2019,Q1,Indiana,7000.0,8000,1000.0,300,30
12,2019,Q1,Iowa,41000.0,44000,2100.0,270,110
13,2019,Q1,Kansas,3700.0,3700,950.0,370,410
14,2019,Q1,Kentucky,5500.0,5500,1200.0,760,20
15,2019,Q1,Louisiana,50000.0,52000,3600.0,4100,320
16,2019,Q1,Maine,1900.0,1900,410.0,20,30
17,2019,Q1,Maryland,8000.0,8000,1600.0,400,190
18,2019,Q1,Massachusetts,3700.0,3700,1000.0,240,290
19,2019,Q1,Michigan,16500.0,37000,7000.0,4000,3900
20,2019,Q1,Minnesota,39000.0,62000,3900.0,8000,2900
21,2019,Q1,Mississippi,19000.0,32000,2000.0,28000,5500
22,2019,Q1,Missouri,8000.0,8000,1400.0,1400,50
23,0,0,0,0.0,0,0.0,0,0
24,0,0,0,0.0,0,0.0,0,0
25,2019,Q1,New Jersey,6500.0,6500,730.0,180,190
26,0,0,0,0.0,0,0.0,0,0
27,2019,Q1,New York,26000.0,26000,3700.0,400,170
28,2019,Q1,North Carolina,18500.0,18500,4200.0,2400,260
29,2019,Q1,North Dakota,66000.0,101000,3200.0,2600,10
30,2019,Q1,Ohio,12000.0,14000,4500.0,300,580
31,2019,Q1,Oklahoma,17000.0,18000,3700.0,890,240
32,2019,Q1,Oregon,81000.0,89000,4800.0,16500,3900
33,2019,Q1,Pennsylvania,14500.0,15000,3300.0,1200,670
34,2019,Q1,South Carolina,13500.0,14500,1800.0,1900,2800
35,2019,Q1,South Dakota,23000.0,29000,390.0,250,90
36,2019,Q1,Tennessee,10000.0,10000,3400.0,540,470
37,2019,Q1,Texas,205000.0,290000,32000.0,124000,42000
38,2019,Q1,Utah,7500.0,17000,620.0,490,50
